Wavelength (Angstroms), Normalized intensity, Element
691.31984, 3.2241474, 
691.36470, 3.5782874, 
691.40957, 3.8850832, N III
691.45443, 3.6787073, 
691.49930, 3.0173835, 
691.54416, 2.4851593, 
691.58902, 2.0155846, 
691.63389, 1.7513859, 
691.67875, 1.5713137, 
691.72361, 1.5238419, 
691.76848, 1.4792039, 
691.81334, 1.4020165, 
691.85821, 1.3884714, 
691.90307, 1.4054164, 
691.94794, 1.4441453, 
691.99280, 1.3653414, 
692.03767, 1.2872674, 
692.08253, 1.4183375, 
692.12740, 1.4571120, 
692.17226, 1.5737942, 
692.21713, 1.3746207, 
692.26199, 1.4155383, 
692.30686, 1.3909713, 
692.35172, 1.5207104, 
692.39659, 1.4856600, 
692.44145, 1.4295108, 
692.48632, 1.4873510, 
692.53119, 1.5036812, 
692.57605, 1.6961277, 
692.62092, 1.6524226, 
692.66578, 1.7637593, 
692.71065, 1.6857554, 
692.75552, 1.5817321, 
692.80038, 1.4255856, 
692.84525, 1.4358754, 
692.89012, 1.4942015, 
692.93498, 1.4899047, 
692.97985, 1.5265184, 
693.02472, 1.5078591, 
693.06958, 1.4405624, 
693.11445, 1.5318895, 
693.15932, 1.5304236, 
693.20419, 1.5835417, 
693.24905, 1.6765820, 
693.29392, 1.7992754, 
693.33879, 1.7581021, Fe VIII
693.38366, 1.8391673, 
693.42852, 1.8149165, 
693.47339, 1.6839851, 
693.51826, 1.6314999, 
693.56313, 1.5993711, 
693.60800, 1.4627521, 
693.65286, 1.4964469, 
693.69773, 1.4715748, 
693.74260, 1.5483152, 
693.78747, 1.8657052, 
693.83234, 2.3203638, 
693.87721, 2.8642350, 
693.92208, 3.6355588, 
693.96695, 4.3376669, Mg IX
694.01181, 5.2526204, 
694.05668, 6.6875112, 
694.10155, 8.0104954, 
694.14642, 7.7994278, Na IX
694.19129, 6.2684777, 
694.23616, 4.2556518, 
694.28103, 2.8054069, 
694.32590, 2.0423407, 
694.37077, 1.7090050, 
694.41564, 1.7112136, 
694.46051, 2.0472755, 
694.50538, 2.7015183, 
694.55025, 3.8866931, 
694.59512, 5.7121758, 
694.63999, 7.3324354, 
694.68486, 7.9328416, Si IX
694.72973, 6.6928081, 
